OC,Plant_Cost,DC_Cost,Route1_Cost,Route2_Cost,First_Stage_Cost,Revenue,Holding_Cost,TC1_PlantDC,TC2_LastMile,Production_Cost,Shortage_Cost,Second_Stage_Profit,Total_Profit,Binding_Scenario,Seed,DI_Scenario,Optimal_Value
12351.288110871812,12464.511647564894,6005.341932992696,16389.83150038094,46297.47202982074,93508.44522163107,200464.49913356654,4274.703784165509,9233.704995886057,19055.940566553003,29603.856682520367,8645.045607055652,129651.24749738598,36142.802275754904,0,1,HD,132321.25468313124
8004.758322037834,14352.154660242235,2705.4907832671674,4759.552586651122,64141.906158943995,93963.86251114236,187568.1348795906,3629.8818529406017,4342.114825158266,14208.23834188384,22046.20370020207,0.0,143341.6961594058,49377.83364826345,1,1,MD,98210.95914971629
4912.972184334611,12464.511647564894,2040.631932410747,8562.67280815494,62571.86560698717,90552.65417945237,187492.53206779953,2906.9063182099285,5779.470260679913,8906.229202537414,19356.52065901061,-5.2354771025805644e-11,150543.40562736173,59990.751447909366,1,1,LD,72278.75616486845
8004.758322037834,14352.154660242235,2705.4907832671674,4759.552586651122,64141.906158943995,93963.86251114236,187568.13487959083,3684.7825863824455,4551.388328140397,12021.17620179469,22465.078042926434,-8.112399640936019e-11,144845.70972034693,50881.84720920457,1,1,Mixed,103235.07413420083
10599.465241237005,14641.087193450958,6215.153346696785,14340.946460337309,51705.501917084686,97502.15415880675,243022.22714006127,6029.266370841309,11976.618802587354,20255.257671241347,31841.19694110591,0.0,172919.88735428534,75417.73319547859,1,2,HD,199399.60088637023
10599.465241237005,14641.087193450958,6215.153346696785,14340.946460337309,51305.74157690383,97102.39381862589,242999.5376310408,5093.620094223634,10142.661029837585,17833.733798139274,27166.123270058088,-7.540634783254063e-11,182763.39943878227,85661.00562015639,1,2,MD,156378.46292371923
10599.465241237005,14641.087193450958,6215.153346696785,14340.946460337309,50972.77406326787,96769.42630498993,242999.53763104085,4331.094599871714,8590.287634842027,12694.829569993784,23108.774569170346,-7.505011344462976e-11,194274.55125716305,97505.12495217312,1,2,LD,119065.80744994349
10599.465241237005,14641.087193450958,6215.153346696785,14340.946460337309,51668.22317250322,97464.87541422527,242999.5376310408,5166.043689329438,10264.058294329343,17443.226693156354,26807.319900289436,-6.19393655917548e-11,183318.88905393626,85854.01363971099,1,2,Mixed,158097.0651862403
13961.73578169724,14213.018661787686,5636.931282700292,11875.826638514938,55803.22640787146,101490.73877257161,199691.45067295388,3584.9554322773943,7316.551452982385,19328.325605566624,32920.502757833514,8787.75424807098,127753.36117622298,26262.622403651374,0,3,HD,126188.35155924436
13961.73578169724,14213.018661787686,5636.931282700292,11875.826638514938,54708.42685617309,100395.93922087326,197516.46531857463,3175.5709877791523,6503.610105190173,16397.545313509225,28668.97368616571,9512.749366197364,133258.01585973302,32862.076638859755,0,3,MD,100421.98824044131
7640.90670301185,14213.018661787686,2828.0532302965958,8524.133713274756,62793.78373754132,95999.8960459122,187021.87572147374,2431.2901775034807,4284.312770086097,10336.744133602624,22784.516669992503,-6.754208341620913e-11,147185.01197028908,51185.11592437688,1,3,LD,71212.71600292095
13961.73578169724,14213.018661787686,5636.931282700292,11875.826638514938,55803.22640787146,101490.73877257161,197537.34867817425,3195.5715095682935,6264.488736097507,15758.561173042814,28645.60791637746,9505.78824633083,134167.33109675738,32676.592324185767,0,3,Mixed,103475.40161609635
12791.327248742424,16412.76977773251,5298.738350806042,11786.926192626735,49766.607547526895,96056.3691174346,186548.9596323374,5749.509674282316,8252.182244897545,19843.6743976627,35528.841663228224,8748.365506231312,108426.38614603531,12370.017028600705,0,4,HD,116666.30110130228
5486.535169314328,12605.365971472902,3454.858993117231,8642.967747360683,65830.28401511537,96020.01189638051,173762.09740138918,4103.882272949764,7115.119758095892,13786.679294508684,24510.183285938227,9.913772767468947e-10,124246.23278989564,28226.22089351513,1,4,MD,82970.2384293615
5486.535169314328,12605.365971472902,3454.858993117231,8642.967747360683,65830.28401511537,96020.01189638051,185928.0964492279,3469.510975840992,6166.025895352257,6932.1679961547,21049.774080459574,8955.31990060117,139355.29760081918,43335.28570443866,0,4,LD,50629.12395349254
5486.535169314328,12605.365971472902,3454.858993117231,8642.967747360683,65830.28401511537,96020.01189638051,185269.44666532584,4308.002451591534,7412.065462243196,14877.56225581978,25660.949143218415,9174.869828568513,123835.99752388443,27815.98562750392,0,4,Mixed,82420.3930715169
12646.989191073124,16133.36945907294,6044.053084015573,12016.20204331508,48996.16835875191,95836.78213622862,233001.4145603838,5865.941379534653,12502.210176539942,18954.34191198396,34649.72052680702,9284.606020351232,151744.594545167,55907.81240893838,0,5,HD,172810.20947520455
12646.989191073124,16133.36945907294,6044.053084015573,12016.20204331508,48725.579988734244,95566.19376621096,222590.32566820047,5015.829453042586,10515.87790258112,16307.958500721144,28085.138311608192,-9.01935555005169e-11,162665.5215002475,67099.32773403655,1,5,MD,130299.16853317615
3664.425514845491,14831.827304224127,3692.9121849626304,7791.128665352495,64141.238773220524,94121.53244260527,222590.3256682004,1961.6831539023974,5667.524974937698,7747.427161951542,24930.889063699844,-6.499800697667979e-11,182282.801313709,88161.26887110373,1,5,LD,95412.05920583243
12646.989191073124,16133.36945907294,6044.053084015573,12016.20204331508,48725.579988734244,95566.19376621096,222590.3256682002,5148.634175507553,10743.195545898534,16650.99319879282,28567.205822123462,0.0,161480.2969258778,65914.10315966685,1,5,Mixed,135789.84929670577
12562.529393737404,13709.206208131094,5396.076043169779,15015.167626161538,48943.75749611841,95626.73676731822,224253.22297304226,4149.439385838397,10319.565106228201,16969.95168503655,36806.48203770467,-1.1124434706744069e-10,156007.78475823454,60381.047990916326,1,6,HD,189969.68490245292
12562.529393737404,13709.206208131094,5396.076043169779,15015.167626161538,48775.607857698786,95458.5871288986,237265.1162093705,3744.111199993059,9370.617164104293,16315.105928230614,34902.58421054372,8690.217229266924,164242.48047723187,68783.89334833328,0,6,MD,153416.7170501501
12562.529393737404,13709.206208131094,5396.076043169779,15015.167626161538,48249.40740014174,94932.38667134155,224065.7842047959,2683.0172737955018,6580.934126308993,6794.922309266252,24712.349623594237,8.759346294534951e-11,183294.56087183082,88362.17420048927,1,6,LD,97750.26822616834
12562.529393737404,13709.206208131094,5396.076043169779,15015.167626161538,48775.607857698786,95458.5871288986,236177.15269555716,3596.5153142609493,9260.55434242715,13713.033404631962,33905.28062101262,9052.871733871365,166648.89727935308,71190.31015045449,0,6,Mixed,143040.72089192088
8661.921575451022,16238.66806552753,6237.820305989793,15873.104615185295,51614.26414982601,98625.77871197966,238177.88716597442,5475.106413687826,6824.817116760466,20307.026276031866,38674.59484999658,9537.640422679851,157358.70208681782,58732.92337483817,0,7,HD,182597.54604834368
8661.921575451022,16238.66806552753,6237.820305989793,15873.104615185295,51712.198566820356,98723.71312897399,239701.22354249904,4516.118060056033,6181.402413945235,17996.17924568891,33800.12640329548,9029.861630504955,168177.53578900843,69453.82266003444,0,7,MD,139248.68102957154
8661.921575451022,16238.66806552753,6237.820305989793,15873.104615185295,51308.029114382916,98319.54367653656,243219.44054283938,4285.3218244181135,5063.153202877063,12711.356120729582,28788.757390529303,14336.95191621457,178033.90008807075,79714.35641153419,2,7,LD,106839.23356768311
8661.921575451022,16238.66806552753,6237.820305989793,15873.104615185295,51405.96353137725,98417.4780935309,238686.1997979539,4604.499192440265,6191.672856733267,17579.48868065113,33989.28845411677,9368.202878686672,166953.04773532582,68535.56964179492,0,7,Mixed,141805.2378569737
9639.48873039908,16237.33993071269,4814.073886818749,15578.876859720718,49023.420895873714,95293.20030352495,262025.7856901793,9426.755382055955,9047.120562711749,24842.34803534221,43900.0962812572,9228.64502005147,165580.8204087607,70287.62010523574,0,8,HD,215433.7376227026
9639.48873039908,16237.33993071269,4814.073886818749,15578.876859720718,49023.420895873714,95293.20030352495,250260.03003985286,7346.946369337618,7408.423775215462,19635.6850008157,34046.0414951376,0.0,181822.93339934648,86529.73309582153,1,8,MD,154576.63320348976
9639.48873039908,16237.33993071269,4814.073886818749,15578.876859720718,48722.28570263805,94992.06511028929,260835.3051642018,6881.740745811351,6744.423518513614,15838.238533827342,31128.569328534137,9625.471862043949,190616.86117547142,95624.79606518213,0,8,LD,129486.79706982055
9639.48873039908,16237.33993071269,4814.073886818749,15578.876859720718,48722.28570263805,94992.06511028929,250260.03003985286,7587.077192859516,7940.290093833955,19701.599371563985,33752.01740700062,0.0,181279.04597459477,86286.98086430549,1,8,Mixed,162762.06279691108
11062.766059068283,14561.733881799992,6161.904675962824,18066.448550923807,48887.259136646986,98740.11230440189,249608.48242584307,4423.37575041411,8256.715644895652,18590.460022837487,30119.276790493357,9304.207742420662,178914.44647478184,80174.33417037995,0,9,HD,203134.7505817522
11062.766059068283,14561.733881799992,6161.904675962824,18066.448550923807,48887.259136646986,98740.11230440189,247478.59202104015,3852.4013842441186,6896.663985729729,14714.915560907437,25391.69519837505,10014.171210688291,186608.74468109553,87868.63237669364,0,9,MD,165003.55166066022
11062.766059068283,14561.733881799992,6161.904675962824,18066.448550923807,48887.259136646986,98740.11230440189,237270.2497314221,3088.6832978207294,5719.539311310027,10571.748359842104,20729.589559714863,0.0,197160.6892027344,98420.5768983325,1,9,LD,122642.1903801593
11062.766059068283,14561.733881799992,6161.904675962824,18066.448550923807,48887.259136646986,98740.11230440189,247351.97801675583,3858.9337676540267,6676.622730083037,14918.881582940001,25973.494869128608,10056.375878783083,185867.66918816708,87127.5568837652,0,9,Mixed,164939.45153978575
12399.068754281741,16958.017772551415,4878.691579998301,15631.906887907195,50040.15186275084,99907.83685748948,244107.2372622342,4254.932983534744,10223.395777084532,28405.975012714793,35416.082195795985,8791.404829735211,157015.44646336895,57107.609605879465,0,10,HD,170651.3583862165
12399.068754281741,16958.017772551415,4878.691579998301,15631.906887907195,49803.81375414264,99671.49874888129,242951.81543591514,3662.1137500890436,8619.515875121135,23273.350733163512,30392.16260536903,9176.545438508227,167828.1270336642,68156.62828478291,0,10,MD,130407.63693109545
12399.068754281741,16958.017772551415,4878.691579998301,11632.847415202705,52501.88336273451,98370.50888476867,231280.78140198102,3124.7797712836887,7041.808029871461,14932.065691338568,25313.91577207589,0.0,180868.21213741144,82497.70325264276,1,10,LD,103852.52197816822
12399.068754281741,16958.017772551415,4878.691579998301,15631.906887907195,49803.81375414264,99671.49874888129,242909.57677149063,3814.2304835909276,8352.099905632711,23939.72619915762,32382.128616108483,9190.624993316416,165230.7665736845,65559.2678248032,0,10,Mixed,141505.41924930247
