Seed,DI_Scenario,Mode,N_Plus,N_Minus,N_Neutral,N_Total
1,HD,0,0,0,0,0
1,HD,1,0,0,0,0
1,HD,2,0,0,150,150
1,MD,0,0,0,0,0
1,MD,1,0,0,0,0
1,MD,2,0,30,120,150
1,LD,0,0,0,9,9
1,LD,1,0,9,39,48
1,LD,2,0,21,72,93
1,Mixed,0,0,5,13,18
1,Mixed,1,0,3,24,27
1,Mixed,2,0,22,83,105
2,HD,0,0,0,0,0
2,HD,1,0,0,0,0
2,HD,2,0,30,120,150
2,MD,0,0,0,0,0
2,MD,1,0,0,0,0
2,MD,2,0,30,120,150
2,LD,0,0,2,10,12
2,LD,1,0,5,31,36
2,LD,2,0,23,79,102
2,Mixed,0,0,0,0,0
2,Mixed,1,0,0,0,0
2,Mixed,2,0,30,120,150
3,HD,0,0,0,0,0
3,HD,1,0,0,0,0
3,HD,2,0,0,150,150
3,MD,0,0,0,0,0
3,MD,1,0,0,0,0
3,MD,2,0,0,150,150
3,LD,0,0,5,28,33
3,LD,1,0,2,10,12
3,LD,2,0,23,82,105
3,Mixed,0,0,0,0,0
3,Mixed,1,0,0,0,0
3,Mixed,2,0,0,150,150
4,HD,0,0,0,0,0
4,HD,1,0,0,0,0
4,HD,2,0,0,150,150
4,MD,0,0,0,0,0
4,MD,1,0,4,17,21
4,MD,2,0,26,103,129
4,LD,0,0,0,45,45
4,LD,1,0,0,54,54
4,LD,2,0,0,51,51
4,Mixed,0,0,0,0,0
4,Mixed,1,0,0,18,18
4,Mixed,2,0,0,132,132
5,HD,0,0,0,0,0
5,HD,1,0,0,0,0
5,HD,2,0,0,150,150
5,MD,0,0,0,0,0
5,MD,1,0,0,0,0
5,MD,2,0,30,120,150
5,LD,0,0,10,62,72
5,LD,1,0,15,27,42
5,LD,2,0,5,31,36
5,Mixed,0,0,0,0,0
5,Mixed,1,0,0,0,0
5,Mixed,2,0,30,120,150
6,HD,0,0,0,0,0
6,HD,1,0,0,0,0
6,HD,2,0,30,120,150
6,MD,0,0,0,0,0
6,MD,1,0,0,0,0
6,MD,2,0,0,150,150
6,LD,0,0,2,19,21
6,LD,1,0,12,51,63
6,LD,2,0,16,50,66
6,Mixed,0,0,0,9,9
6,Mixed,1,0,0,18,18
6,Mixed,2,0,0,123,123
7,HD,0,0,0,0,0
7,HD,1,0,0,0,0
7,HD,2,0,0,150,150
7,MD,0,0,0,0,0
7,MD,1,0,0,0,0
7,MD,2,0,0,150,150
7,LD,0,0,0,0,0
7,LD,1,1,1,22,24
7,LD,2,21,7,98,126
7,Mixed,0,0,0,0,0
7,Mixed,1,0,0,3,3
7,Mixed,2,0,0,147,147
8,HD,0,0,0,0,0
8,HD,1,0,0,0,0
8,HD,2,0,0,150,150
8,MD,0,0,0,0,0
8,MD,1,0,0,0,0
8,MD,2,0,30,120,150
8,LD,0,0,0,0,0
8,LD,1,0,0,21,21
8,LD,2,0,0,129,129
8,Mixed,0,0,0,0,0
8,Mixed,1,0,1,8,9
8,Mixed,2,0,29,112,141
9,HD,0,0,0,0,0
9,HD,1,0,0,0,0
9,HD,2,0,0,150,150
9,MD,0,0,0,0,0
9,MD,1,0,0,0,0
9,MD,2,0,0,150,150
9,LD,0,0,0,0,0
9,LD,1,0,3,24,27
9,LD,2,0,27,96,123
9,Mixed,0,0,0,0,0
9,Mixed,1,0,0,3,3
9,Mixed,2,0,0,147,147
10,HD,0,0,0,0,0
10,HD,1,0,0,0,0
10,HD,2,0,0,150,150
10,MD,0,0,0,0,0
10,MD,1,0,0,0,0
10,MD,2,0,0,150,150
10,LD,0,0,0,3,3
10,LD,1,0,9,48,57
10,LD,2,0,21,69,90
10,Mixed,0,0,0,0,0
10,Mixed,1,0,0,9,9
10,Mixed,2,0,0,141,141
